grb_name,episode,model_name,kt_keV,kt_err_lower_keV,kt_err_upper_keV,e_peak_keV,e_peak_err_lower_keV,e_peak_err_upper_keV,used_in_restricted_fit,n_samples,seed
GRB080916C,T90,SBPL_BB,44.452754974365234,2.0511903762817383,2.0511903762817383,1003.6871644790159,164.95930032154502,157.77736839566285,True,10000.0,2177701742.0
GRB080916C,EX0,BAND_BB,42.492431640625,3.2692863941192627,3.2692863941192627,1308.572998046875,247.81393432617188,247.81393432617188,True,,
GRB080916C,TR1,BAND_BB,39.75551986694336,3.5887789726257324,3.5887789726257324,1330.5928955078125,250.35162353515625,250.35162353515625,True,,
GRB080916C,TR3,SBPL_BB,49.13639831542969,2.603815793991089,2.603815793991089,856.1030824053983,232.51451077842194,216.2199135317635,False,10000.0,2177701742.0
GRB140206B,T90,BAND_BB,27.128387451171875,2.2241780757904053,2.2241780757904053,806.8508911132812,93.42422485351562,93.42422485351562,False,,
GRB140206B,EX0,BAND_BB,58.51131820678711,4.043655872344971,4.043655872344971,2391.221923828125,248.25962829589844,248.25962829589844,True,,
GRB140206B,TR1,BAND_BB,55.84280014038086,3.7928547859191895,3.7928547859191895,2173.46484375,256.0892639160156,256.0892639160156,True,,
GRB140206B,TR2,BAND_BB,31.52924156188965,2.3295650482177734,2.3295650482177734,477.0290832519531,28.53826141357422,28.53826141357422,False,,
GRB140206B,TR3,BAND_BB,16.948589324951172,1.9001359939575195,1.9001359939575195,400.8552551269531,85.12543487548828,85.12543487548828,False,,
GRB131014A,T90,BAND_BB,34.91935729980469,0.7959309220314026,0.7959309220314026,443.6439208984375,7.615445613861084,7.615445613861084,True,,
GRB131014A,EX0,BAND_BB,42.57893371582031,1.477332353591919,1.477332353591919,520.955322265625,11.343509674072266,11.343509674072266,True,,
GRB131014A,TR1,BAND_BB,44.04874801635742,1.6161514520645142,1.6161514520645142,528.470947265625,11.600377082824707,11.600377082824707,True,,
GRB131014A,TR2,SBPL_BB,27.233074188232422,0.9492682218551636,0.9492682218551636,287.0678775346015,11.002255326191403,10.23855125370244,True,10000.0,2177701742.0
GRB131014A,EX1,BAND_BB,28.031423568725586,1.1936372518539429,1.1936372518539429,271.12286376953125,9.902332305908203,9.902332305908203,True,,
GRB231129C,T90,SBPL_BB,29.893070220947266,0.6548749804496765,0.6548749804496765,289.8048579866332,9.934631729929492,9.141431432592412,True,10000.0,2177701742.0
GRB231129C,EX0,SBPL_BB,31.2021541595459,0.8845780491828918,0.8845780491828918,324.7989883182063,13.444931683324171,12.25250015013006,True,10000.0,2177701742.0
GRB231129C,TR1,SBPL_BB,31.04477310180664,0.8503799438476562,0.8503799438476562,303.87140055741133,12.169699539391559,11.692929764577684,True,10000.0,2177701742.0
GRB231129C,EX1,SBPL_BB,53.092262268066406,2.30944561958313,2.30944561958313,128.56603138494125,6.460996919432233,6.315072310744995,False,10000.0,2177701742.0
